Brewery name,City,State,Alex
Front Pourch,Phoenix,AZ,3/14/2020
Raices,Denver,CO,8/7/2020
Cheluna,Denver,CO,11/14/2020
Monumental,Grand Junction,CO,12/28/2020
Kannah Creek,Grand Junction,CO,12/28/2020
Ramblebine,Grand Junction,CO,12/28/2020
Barquentine,Edgewater,CO,3/20/2021
Greenwood,Phoenix,AZ,5/21/2021
Intersect,Fort Collins,CO,5/28/2021
Timnath,Timnath,CO,5/28/2021
Luki,Arvada,CO,5/29/2021
6&40,Lakewood,CO,6/7/2021
Old 121,Lakewood,CO,6/7/2021
Colorado Plus,Wheat Ridge,CO,6/7/2021
Dangerous Man,Minneapolis,MN,6/12/2021
Bauhaus,Minneapolis,MN,6/12/2021
Fair State,Minneapolis,MN,6/12/2021
Fulton,Minneapolis,MN,6/13/2021
Modist,Minneapolis,MN,6/13/2021
Pryes,Minneapolis,MN,6/13/2021
Dancing Gnome,Pittsburgh,PA,6/27/2021
The Church Brew Works,Pittsburgh,PA,6/27/2021
Eleventh Hour,Pittsburgh,PA,6/27/2021
Cinderlands,Pittsburgh,PA,6/27/2021
Lone Pine,Portland,ME,7/17/2021
Human Robot,Philadelphia,PA,8/14/2021
Turtle Swamp,Jamaica Plain,MA,9/3/2021
Mighty River,Windsor,CO,9/18/2021
Mother Tucker,Thornton,CO,10/23/2021
Peculier Ales,Windsor,CO,11/14/2021
Satire,Thornton,CO,11/19/2021
Pedal Haus,Phoenix,AZ,11/24/2021
Jughandle,Tinton Falls,NJ,12/22/2021
Two Mile,Leadville,CO,1/15/2022
Little Dry Creek,Greenwood Village,CO,2/12/2022
Cohesion,Denver,CO,2/12/2022
Smash face,Denver,CO,2/19/2022
Uhl,Boulder,CO,3/6/2022
Resolute,Arvada,CO,3/6/2022
Wolf and Warrior,White Plains,NY,3/19/2022
Drowned Lands,Warwick,NY,3/20/2022
Comet Brews,Littleton,CO,4/16/2022
Notch,Brighton,MA,5/12/2022
Bull and Bush,Glendale,CO,5/21/2022
Wah Gwaan,Denver,CO,6/18/2022
Britesmith,Williamsville,NY,7/16/2022
Ska,Durango,CO,8/5/2022
Cabin Creek,Georgetown,CO,8/13/2022
Mountain Cowboy,Frederick,CO,9/3/2022
Mirror Image,Firestone,CO,9/3/2022
Able Baker,Las Vegas,NV,9/10/2022
Sixpoint,Brooklyn,NY,10/28/2022
Wild East,Brooklyn,NY,10/28/2022
Kettle and Spoke,Boulder,CO,11/12/2022
Roses by the Stairs,Phoenix,AZ,12/22/2022
Surly,Minneapolis,MN,1/14/2023
Holidaily,Golden,CO,2/12/2023
Second dawn,Denver,CO,3/25/2023
Public Offering,Denver,CO,4/23/2023
Bolero Snort,Carlstadt,NJ,5/6/2023
Dos Luces,Denver,CO,6/7/2023
Locavore,Littleton,CO,7/3/2023
Jade Mountain,Aurora,CO,8/27/2023
Reverence,Denver,CO,9/24/2023
Knotted Root,Nederland,CO,12/30/2023
Rocks and Hops,Boulder,CO,12/30/2023
Monolith,Denver,CO,1/20/2024
Canmore,Canmore,Canada,2/9/2024
Two Pillars,Calgary,Canada,2/11/2024
